,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction
10,10.0,4044.0,114.0,600.0,2.769375238752005,0.10366598624782364,-0.0526668168825208,2.171288932365895e-05,159.98436280330068,55.28725361454343,0.709602394935818,103.66598624782364,96.71144448731476,0.04942184197994789,0.1318750113691431,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.11873242036651492,21.0,32.4265340279147,2.7601273504375423,54.06454563,-8.4854144245,53.56781050000015,1.2227079845434332,2.2615708137292883,-8.174802206878885,310.6122176211148,0.3337472912101466
11,11.0,4437.0,114.0,600.0,8.543752231385005,0.08615282245229364,-0.11091543112434027,2.7370590774532488e-05,100.78974605537678,61.153956852942066,1.208058097601552,86.15282245229368,88.63084002264976,0.022473100332491645,0.1857337441605436,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.11897679265538245,46.0,14.7667468590642,1.4802301969580447,60.217766015,-8.329921777000001,18.15026299999989,0.9361908379420641,1.5546754718679912,-8.139623771439396,190.29800556060474,0.4527258296716954
12,12.0,4830.0,114.0,600.0,36.09656288221281,0.016728031724813422,-0.1854207561121888,2.8076220532916968e-05,12.761495810175418,56.84824236954381,0.001990306779452913,16.728031724813427,12.120178498106071,0.020090889437045067,0.7219312576442561,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.05969904869823274,50.0,-19.09139749412622,0.5052028465908603,57.01196845,-8.619749308,0.0,-0.1637260804561862,-0.28717843797969445,-8.595787816061877,23.961491938122137,0.6981214595490002
13,13.0,5223.0,114.0,600.0,17.87054821626797,0.051973379822965515,-0.1490705889973293,2.792277344726317e-05,134.7864056988916,57.719420689016296,0.06950377177227887,51.973379822965505,122.9143310060046,0.02093786096975395,0.35741096432535924,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.07435093279562917,50.0,7.362820145587996,1.6418672644211625,57.86962571,-8.606992354666666,0.0,-0.15020502098370514,-0.2595576161774784,-8.51158279011877,95.40956454789651,0.5447397236246098
14,14.0,5616.0,114.0,600.0,13.577335694504555,0.06488871713894957,-0.1348648071143971,2.7743545035187042e-05,300.7685142073405,58.26372710689135,0.1847930181828504,64.88871713894959,240.88081371593688,0.021885794591365405,0.2715467138900911,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.04791547665641475,50.0,36.13943114510074,2.452625182156216,58.29845434,-8.600613877999999,0.0,-0.03472723310865433,-0.05956801685705607,-8.47165731970243,128.95655829756868,0.5031827616647317
15,15.0,6009.0,114.0,600.0,12.459747642122235,0.06659478839027641,-0.1304235034951929,2.736365165075963e-05,108.99718887291824,59.86432172947237,0.7667065873178592,66.59478839027642,92.26545194965423,0.022503385227426568,0.27086407917657035,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.11895044289309588,46.0,-4.775477345581108,1.5393193645027032,58.824729805,-8.12136249,13.455606499999995,1.0395919244723757,1.767270207476605,-7.894116160658278,227.24632934172107,0.29305110706600096
16,16.0,6402.0,114.0,600.0,13.684619178099856,0.06418747886938855,-0.13527174885293286,2.7702670516989093e-05,76.96250955740169,60.132273351994975,0.5368035357863304,64.18747886938857,70.57798481750544,0.021391209415865184,0.2850962328770804,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15391420336016282,48.0,-28.161043146709122,1.2662486390038894,59.43425179999999,-8.334835427333333,12.95743799999993,0.6980215519949766,1.1744432391339985,-8.198368609591753,136.46681774157975,0.47035228000214035
17,17.0,6795.0,114.0,600.0,27.61869183039413,0.029393043911022564,-0.1715793442530471,2.791283168945412e-05,27.64548765092914,68.18374973308039,0.05980193012141246,29.39304391102256,25.321654858393455,0.020602596345037853,0.5636467720488598,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.04872650309363341,49.0,0.1571420548425131,0.7511282350765188,68.182054575,-7.8246604363333345,0.0,0.0016951580803947766,0.002486223231261107,-7.770884306957577,53.776129375757264,0.5465816199905453
18,18.0,7188.0,114.0,600.0,27.451400825561056,0.030523560932615795,-0.1712652122089966,2.802621849189061e-05,51.37731048974961,60.59513763484349,0.0368229435046759,30.523560932615794,49.00797654306504,0.02036991085497073,0.5490280165112211,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.07460021255611758,50.0,-14.236566601054756,1.013679539990323,60.62234564,-8.314470712666667,0.0,-0.027208005156509785,-0.0448811488062206,-8.257530963044937,56.939749621729874,0.5360677055202068
19,19.0,7581.0,114.0,600.0,106.91508327301041,0.03193372635197052,-0.2415628833898648,3.7985640241921575e-05,50.89604383629237,55.26810383163165,0.005194897991970825,31.93372635197052,44.17653256462857,0.005083435655621135,0.534575416365052,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.02468113213243829,200.0,17.125047072507545,0.5044603246851648,55.60565046,-8.808385259333331,0.0,-0.3375466283683508,-0.6070365611695622,-8.751936720577536,56.44853875579514,0.5657139592243586
