,Unnamed: 0,Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Vegards E_hull,var_vol_norm,Smix_HT
26,26,0.0,0.0,1.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,67.37047250000039,0.011251697893352994,0.08959620109344263
27,27,0.0,0.0,1.0,0.25,0.4166666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4166666666666666,0.3333333333333333,52.729178500000216,0.009270666953813131,0.09285661696591538
28,28,0.0,0.0,1.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,45.40853150000012,0.008110264801684218,0.08959620109344263
29,29,0.0,0.0,1.0,0.25,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.6666666666666666,0.08333333333333333,30.76723749999995,0.005480004593633083,0.07100330947008922
30,30,0.0,0.0,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,23.446590499999864,0.004021350849880666,0.0484582919878343
31,31,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,83.16664066666728,0.015055490158705786,0.054850545474144446
32,32,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5,68.5253466666671,0.013086226556089764,0.08715607346603398
33,33,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,53.88405266666692,0.010664508877880261,0.09467107929345228
34,34,0.0,0.0,1.0,0.3333333333333333,0.4166666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4166666666666666,0.25,46.56340566666684,0.009299246208438236,0.09285661696591538
35,35,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,24.601464666666573,0.004651810722737678,0.054850545474144446
36,36,0.0,0.0,1.0,0.4166666666666666,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.08333333333333333,0.5,69.6802208333338,0.014512270492498142,0.07914398059737926
37,37,0.0,0.0,1.0,0.4166666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.25,0.3333333333333333,55.038926833333626,0.011684105673262914,0.09285661696591538
38,38,0.0,0.0,1.0,0.4166666666666666,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.3333333333333333,0.25,47.71827983333354,0.010129904042284183,0.09285661696591538
39,39,0.0,0.0,1.0,0.4166666666666666,0.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.5,0.08333333333333333,33.07698583333337,0.006766829193786372,0.07914398059737926
40,40,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,70.8350950000005,0.015558271037187758,0.05973080072896175
41,41,0.0,0.0,1.0,0.5,0.08333333333333333,0.4166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.4166666666666666,63.514448000000414,0.0140007782621773,0.07914398059737926
42,42,0.0,0.0,1.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.3333333333333333,56.193801000000335,0.01235536570586946,0.08715607346603399
43,43,0.0,0.0,1.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,48.873154000000255,0.01062697873947973,0.08959620109344263
44,44,0.0,0.0,1.0,0.5,0.4166666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4166666666666666,0.08333333333333333,34.231860000000076,0.006939821952633208,0.07914398059737926
45,45,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,26.91121299999999,0.004989742152599835,0.05973080072896175
46,46,0.0,0.0,1.0,0.5833333333333333,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333333,0.08333333333333333,0.3333333333333333,57.34867516666705,0.012702370124357355,0.0764955717675472
