,index,Unnamed: 0,level_0,Temperature (K),Partition Function,Energy_(eV/fu),Helmholtz,Entropy_(eV/Kfu),Hmix_Var,Volume_per_fu,Volume_per_fu_var,Hmix (meV/fu),Hmix (meV/fu)_var,Probs_Squared_Sum,Z/W,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,MnTe,MnSe,MnS,ZnTe,ZnSe,ZnS,Pb,Sn,Ge,Mn,Zn,Te,Se,S,Scaled_Entropy (meV/fuK),Number_of_Configs,Free Energy (meV/fu),Uncertainty (meV/fu),Vegards Volume_per_fu,Vegards Energy_per_fu,Vegards E_hull,Delta Volume per fu,percent difference Volume,Predicted_Energy_per_fu,H_mix_Predicted (meV/fu),EOS_Correction,EOS_abs_correction
22,22,8760,114,600,2.110321413,0.106786228,-0.038614628,2.02E-05,127.8706965,57.50290854,0.207935282,106.786228,109.8376093,0.061308554,0.124136554,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.118658261,17,35.59127115,2.742591051,56.18443978,-8.444449454,35.4175475,1.318468769,2.346679569,-8.080577113,363.8723403,0.293471683,257.0861124
23,23,9153,114,600,12.06552875,0.065806472,-0.128761182,2.70E-05,116.3758532,52.74833078,0.619588407,65.80647207,112.0315256,0.023699004,0.274216563,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0.118856657,44,-5.507521937,1.626316622,51.66525698,-8.762203558,31.952925,1.083073799,2.096329066,-8.527951676,234.2518815,0.280921851,168.4454094
24,24,9546,114,600,4.771889695,0.082829144,-0.080800029,2.27E-05,64.00391352,50.24173553,0.533261471,82.82914429,76.50861256,0.042878868,0.198828737,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,1,0.094306545,24,26.24521729,1.633043089,49.59480896,-9.063796341,60.14359467,0.646926568,1.304423953,-8.868135798,195.6605432,0.423330851,112.8313989
25,25,9939,114,600,18.09553361,0.050955516,-0.149717465,2.79E-05,183.2779343,56.63897956,0.016918705,50.95551623,157.1040777,0.021210305,0.361910672,0.166666667,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.166666667,0,0.833333333,0.03854972,50,27.82568437,1.914564882,56.9520524,-8.704499569,0,-0.313072835,-0.549712999,-8.605565093,98.9344761,0.515043069,47.97895986
26,26,10332,114,600,29.31581503,0.026846577,-0.174662679,2.80E-05,100.1636129,51.9697115,0.537493567,26.84657691,69.72802889,0.020534174,0.586316301,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0.059530681,50,-8.871831704,1.415370008,52.408082,-8.456551656,12.562772,-0.438370503,-0.836455917,-8.352594214,103.9574416,0.258245841,77.11086472
27,27,10725,114,600,34.19880544,0.019447854,-0.182628382,2.81E-05,20.61151678,68.63238362,0.004492922,19.44785421,19.51620269,0.020146503,0.683976109,0.833333333,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.833333333,0.166666667,0,0.038793081,50,-3.827994387,0.642051661,68.64084123,-7.775906829,0,-0.00845761,-0.012321542,-7.745653216,30.253613,0.642827493,10.8057588
28,28,11118,114,600,38.59678667,0.013339324,-0.188883444,2.81E-05,4.866631875,57.69088485,0.015619922,13.33932372,4.51353192,0.020033804,0.771935733,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0.059718895,50,-22.49201336,0.31198179,57.86722337,-8.344662728,2.571788,-0.176338521,-0.304729536,-8.329187061,15.47566737,0.861954667,2.136343651
29,29,11511,114,600,21.73547759,0.042358668,-0.159193809,2.80E-05,78.13822919,67.67195103,0.106159726,42.35866831,72.64915549,0.020551303,0.434709552,0.833333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.833333333,0,0.166666667,0.038701899,50,19.13752861,1.250105829,67.72326792,-7.873414043,0,-0.051316893,-0.07577439,-7.79668789,76.72615308,0.552076008,34.36748477
30,30,11904,114,600,27.71600198,0.030164542,-0.171761195,2.80E-05,38.82210072,65.96357061,0.023142348,30.16454231,33.97901571,0.020256027,0.55432004,0.583333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.583333333,0.416666667,0,0.058438982,50,-4.898846648,0.881159472,65.97799538,-7.94130308,0,-0.014424769,-0.021862999,-7.885309294,55.99378618,0.538712317,25.82924387
31,31,12297,114,600,13.76141925,0.064545813,-0.135561108,2.78E-05,124.2481992,62.28029406,0.543091973,64.54581302,111.8567023,0.02127893,0.280845291,0.416666667,0.166666667,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.416666667,0.166666667,0.416666667,0.088156948,49,11.65164398,1.59238109,61.90883153,-8.295335283,0,0.371462526,0.600015404,-8.1626771,132.6581823,0.486557346,68.11236924
32,32,12690,114,600,3.147301956,0.108966095,-0.05928099,2.34E-05,203.9284925,46.59345582,1.736763627,108.9660953,240.1544952,0.040547302,0.116566739,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.059035277,27,73.5449292,2.748255288,47.26258918,-9.139559037,90.215392,-0.669133356,-1.415778034,-8.931246876,208.3121611,0.523090417,99.34606585
33,33,13083,114,600,70.08831252,0.053061462,-0.219729379,3.79E-05,128.3804201,61.63807641,0.252235731,53.06146208,114.887888,0.005219553,0.350441563,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0.333333333,0.333333333,0.094310411,200,-3.524784521,0.801187931,61.4800029,-8.301713759,0,0.158073509,0.257113698,-8.193162734,108.5510252,0.488815854,55.48956309
34,34,13476,114,600,18.35470254,0.051700587,-0.15045273,2.81E-05,11.35918688,52.15525743,0.137665481,51.70058668,12.11367106,0.020090884,0.367094051,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0.0597001,50,15.88052697,0.476637952,52.49687075,-8.966539466,36.300526,-0.34161332,-0.650730824,-8.907998803,58.54066297,0.883156836,6.840076294
35,35,13869,114,600,38.75026868,0.013118846,-0.18908864,2.81E-05,6.387367787,60.67209224,0.001160313,13.11884576,6.137159986,0.020045967,0.775005374,0.083333333,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.083333333,0.916666667,0,0.024710981,50,-1.707742585,0.357417621,60.65230367,-8.272095582,0,0.019788578,0.03262626,-8.251713994,20.38158784,0.643661616,7.262742081
36,36,14262,114,600,20.95731747,0.04413807,-0.157308787,2.80E-05,88.4086337,61.15660758,0.164019567,44.13807047,83.7654226,0.020635958,0.419146349,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.5,0.25,0.089266241,50,-9.421674406,1.329726541,61.05117427,-8.308092236,0,0.105433312,0.172696616,-8.22476875,83.32348629,0.52971944,39.18541582
37,37,14655,114,600,17.02030904,0.054266113,-0.146550188,2.79E-05,165.028026,64.03240977,0.334117975,54.26611339,144.0239628,0.021107183,0.340406181,0.5,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,0.089014747,50,0.857265209,1.816744484,63.71402013,-8.142695985,0,0.31838964,0.499716765,-8.031933258,110.7627275,0.489931177,56.49661407
38,38,15048,114,600,5.336515147,0.097252149,-0.086582111,2.55E-05,230.9186626,59.25164037,1.633132618,97.25214876,121.0383404,0.029114523,0.148236532,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0.5,0.059319743,36,61.66030283,2.532668019,58.09787187,-8.370886748,36.300526,1.153768505,1.985904935,-8.171217037,199.6697109,0.487065105,102.4175622
39,39,15441,114,600,7.381584494,0.079458241,-0.103355688,2.54E-05,110.3646034,54.42129553,0.377289354,79.45824073,103.1683782,0.029694477,0.210902414,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0.5,0.5,0,0,0.333333333,0.333333333,0.333333333,0.153630297,35,-12.71993772,1.775746148,53.51239109,-8.475793502,39.89946433,0.908904439,1.698493416,-8.230231661,245.5618404,0.323577314,166.1035997
40,40,15834,114,600,12.75914961,0.068186743,-0.131651234,2.78E-05,164.5181992,60.45720105,0.401472233,68.18674315,135.4124083,0.021475115,0.260390808,0.333333333,0.083333333,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0.083333333,0.583333333,0.076020737,49,22.57430098,1.832352114,60.10364294,-8.44797458,0,0.35355811,0.588247389,-8.308546209,139.4283715,0.489044966,71.24162832
41,41,16227,114,600,28.54888677,0.028545465,-0.173292047,2.80E-05,48.37804215,63.2885306,0.010044514,28.54546491,43.01748059,0.020324808,0.570977735,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0.666666667,0,0.054745076,50,-4.301580757,0.983646706,63.31514952,-8.106699331,0,-0.026618918,-0.042041942,-8.052129162,54.5701696,0.523096503,26.02470469
42,42,16620,114,600,16.65812484,0.05668989,-0.145438076,2.81E-05,14.90277296,53.05671932,0.431140554,56.68989026,14.29490427,0.020107213,0.333162497,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.5,0.059693449,50,20.87382078,0.545944557,53.35212567,-8.691452886,38.872314,-0.295406347,-0.553691803,-8.619812079,71.64080704,0.791307253,14.95091678
43,43,17013,114,600,16.75421138,0.05369398,-0.145735456,2.77E-05,89.88872243,60.21419821,0.274844265,53.69397992,69.52936185,0.021385775,0.34904607,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0.5,0.5,0,0.153897621,48,-38.64459248,1.368459615,59.45498806,-8.094752211,9.827667,0.759210155,1.276949471,-7.920725806,174.0264051,0.30853927,120.3324252
44,44,17406,114,600,11.99020389,0.070720412,-0.128437383,2.77E-05,138.2234347,58.34437156,1.124883086,70.72041157,92.71096171,0.021587552,0.249795914,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333333,0.333333333,0.333333333,0.094249578,48,14.17066496,1.696954593,57.3885007,-8.367957095,25.914876,0.955870864,1.665613933,-8.22868767,139.2694258,0.507795671,68.54901419
45,45,17799,114,600,40.53005154,0.010790485,-0.191410461,2.81E-05,7.132672907,68.01469118,0.001825098,10.79048539,6.785115691,0.020050821,0.810601031,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0.05971303,50,-25.03733285,0.377694927,67.93866128,-7.693304088,0,0.076029899,0.111909623,-7.681131946,12.17214194,0.88649027,1.381656549
46,46,18192,114,600,30.62876689,0.024926838,-0.176927961,2.80E-05,47.75216886,62.39599894,0.00715518,24.92683827,40.62264799,0.020306578,0.612575338,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0.048369055,50,-4.094594931,0.977263208,62.42753424,-8.161831415,0,-0.031535296,-0.050515044,-8.114705763,47.12565153,0.528944162,22.19881326
47,47,18585,114,600,26.30123321,0.03238695,-0.16905221,2.80E-05,107.1774269,61.19067898,0.308208459,32.3869498,77.08108327,0.020590559,0.526024664,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0.059511793,50,-3.320125924,1.464086247,60.86650208,-7.831269812,16.920229,0.324176905,0.532603146,-7.738223821,93.04599058,0.348074641,60.65904078
48,48,18978,114,600,29.35599506,0.027012126,-0.174733495,2.80E-05,61.50767244,66.83592171,0.017467053,27.01212641,50.9378006,0.020385673,0.587119901,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666667,0.333333333,0,0.054722962,50,-5.821650978,1.109122829,66.86561066,-7.886170997,0,-0.029688945,-0.044400919,-7.835983738,50.18725823,0.53822678,23.17513182
49,49,19371,114,600,30.8414825,0.024613278,-0.177285803,2.80E-05,41.3961986,67.76191354,0.024770155,24.61327787,36.90979287,0.02027846,0.61682965,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,0.25,0,0.048378456,50,-4.413795658,0.909903276,67.75322595,-7.831038913,0,0.008687591,0.012822402,-7.789487855,41.5510582,0.592362239,16.93778033
50,50,19764,114,600,39.84826196,0.011674778,-0.190533306,2.81E-05,6.357053432,69.52764038,0.001734488,11.67477762,6.058320845,0.020045372,0.796965239,0.916666667,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.916666667,0.083333333,0,0.02471105,50,-3.15185209,0.356568463,69.52845652,-7.720774746,0,-0.000816138,-0.001173819,-7.704322231,16.45251497,0.709604437,4.777737346
51,51,20157,114,600,20.79535585,0.044838115,-0.156907658,2.80E-05,63.81480467,66.07274495,0.2089084,44.83811527,50.27721439,0.020382594,0.415907117,0.666666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666667,0.166666667,0.166666667,0.074587411,50,0.085668935,1.129732753,65.94803735,-7.983678211,0,0.124707596,0.189099784,-7.892210325,91.46788613,0.490206095,46.62977085
52,52,20550,114,600,20.64415475,0.04405239,-0.156530349,2.79E-05,106.1483718,64.80362346,0.269120781,44.05239019,52.85118298,0.020834802,0.421309281,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0.094407058,49,-12.59184457,1.471833313,64.04969199,-7.776060762,11.28015267,0.753931474,1.177103981,-7.664635108,111.4256537,0.395352315,67.37326353
