,Temperature (K),Pb,Sn,Ge,Te,Se,S,PbTe,PbSe,PbS,SnTe,SnSe,SnS,GeTe,GeSe,GeS,Number_of_Configs,Hmix (meV/fu),Free Energy (meV/fu),Uncertainty (meV/fu),Smix_HT,Vegards E_hull,var_vol_norm,Hmix_unk (meV/fu)
13,600,1,0,0,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0.666666667,0,0,0,0,0,0,50,51.97337982,7.362820146,1.641867264,0.074760812,0,0.010607676,51.97337982
14,600,1,0,0,0.25,0,0.75,0.25,0,0.75,0,0,0,0,0,0,50,64.88871714,36.13943115,2.452625182,0.048458292,0,0.014401215,64.88871714
15,600,0.5,0,0.5,0.5,0.5,0,0.25,0.25,0,0,0,0,0.25,0.25,0,46,66.59478839,-4.775477346,1.539319365,0.119461601,13.4556065,0.017435191,53.13918189
16,600,0.5,0.5,0,0.333333333,0.333333333,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,0,48,64.18747887,-28.16104315,1.266248639,0.15440188,12.957438,0.012810041,51.23004087
17,600,1,0,0,0.833333333,0.083333333,0.083333333,0.833333333,0.083333333,0.083333333,0,0,0,0,0,0,49,29.39304391,0.157142055,0.751128235,0.048781493,0,0.005639545,29.39304391
18,600,1,0,0,0.166666667,0.666666667,0.166666667,0.166666667,0.666666667,0.166666667,0,0,0,0,0,0,50,30.52356093,-14.2365666,1.01367954,0.074760812,0,0.006319536,30.52356093
19,600,1,0,0,0.083333333,0,0.916666667,0.083333333,0,0.916666667,0,0,0,0,0,0,200,31.93372635,17.12504707,0.504460325,0.024717612,0,0.006449177,31.93372635
20,600,1,0,0,0.916666667,0,0.083333333,0.916666667,0,0.083333333,0,0,0,0,0,0,50,24.59368693,9.768476209,0.413822377,0.024717612,0,0.004179914,24.59368693
21,600,0.333333333,0.333333333,0.333333333,0,1,0,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,46,34.83241942,-21.91592694,0.721492734,0.094671079,8.375181333,0.006805978,26.45723809
22,600,0.5,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0,0,0.25,0,0.25,17,106.786228,35.59127115,2.742591051,0.119461601,35.4175475,0.028499658,71.36868045
23,600,0.5,0,0.5,0,0.5,0.5,0,0.25,0.25,0,0,0,0,0.25,0.25,44,65.80647207,-5.507521937,1.626316622,0.119461601,31.952925,0.013326007,33.85354707
